dataUID,date,description,link,country,competitionClass
"6ea90012-a049-4962-99c4-01bcdd86c641","23 Feb 2020","Internationale Sluitingsprijs Oostmalle","https://dataride.uci.org/iframe/CompetitionResults/57835?disciplineId=3",BEL,C1
"f3fcc1b6-f1e2-423f-a5d2-a7c9f64d27b2","22 Feb 2020","GP Leuven","https://dataride.uci.org/iframe/CompetitionResults/57834?disciplineId=3",BEL,C1
"4c098cf2-3bff-430b-951a-d6263721ff35","16 Feb 2020","Vestingcross Hulst","https://dataride.uci.org/iframe/CompetitionResults/57918?disciplineId=3",NED,C1
"c9cfe3a3-951a-4467-8379-247b9297b780","15 Feb 2020","Telenet Superprestige Middelkerke","https://dataride.uci.org/iframe/CompetitionResults/57833?disciplineId=3",BEL,C1
"2e53ab88-3af2-410a-8d43-c9c12ed63c89","08 Feb 2020","DVV Verzekeringen trofee Krawatencross","https://dataride.uci.org/iframe/CompetitionResults/57831?disciplineId=3",BEL,C1
"b458c004-8f70-4244-b07f-4cd99ab050bd","05 Feb 2020","Parkcross Maldegem","https://dataride.uci.org/iframe/CompetitionResults/57830?disciplineId=3",BEL,C2
"8ba8b5dd-3fb1-40df-9f2a-1a3a928bb5f9","01 Feb-02 Feb 2020","UCI Cyclo-cross World Championships","https://dataride.uci.org/iframe/CompetitionResults/57738?disciplineId=3",SUI,CM
"1ffb0f10-df51-4740-ac99-824e2dadac97","26 Jan 2020","2019-2020 Telenet UCI Cyclo-cross World Cup, Hoogerheide Provincie Noord-Brabant","https://dataride.uci.org/iframe/CompetitionResults/57747?disciplineId=3",NED,CDM
"27eda8b4-c0a1-4be1-bacd-202ef2824dc5","25 Jan 2020","Kasteelcross Zonnebeke","https://dataride.uci.org/iframe/CompetitionResults/57829?disciplineId=3",BEL,C2
"86d471b9-93d7-48a5-8e89-83b5cd807241","19 Jan 2020","2019-2020 Telenet UCI Cyclo-cross World Cup, Nommay Pays de Montbeliard","https://dataride.uci.org/iframe/CompetitionResults/57748?disciplineId=3",FRA,CDM
"9f191e53-04bd-48a0-be55-aea2f9226076","19 Jan 2020","ZAO-sama Cup Tohoku CX Series","https://dataride.uci.org/iframe/CompetitionResults/57904?disciplineId=3",JPN,C2
"16ab246a-0ca0-46f2-8d83-34bd04829487","19 Jan 2020","Grand Prix Möbel Alvisse","https://dataride.uci.org/iframe/CompetitionResults/57906?disciplineId=3",LUX,C2
"fe53de65-8595-40fe-a675-b2258b3d8797","13 Jan 2020","Cyclocross Otegem","https://dataride.uci.org/iframe/CompetitionResults/57828?disciplineId=3",BEL,C2
"d5d963f6-27f8-4723-81c2-13ad8f4613e4","12 Jan 2020","Czech National Championships - ME, WE","https://dataride.uci.org/iframe/CompetitionResults/57915?disciplineId=3",CZE,CN
"e23ba9a6-26ab-42cd-9e76-d4eb69cf765b","12 Jan 2020","Danish National Championships","https://dataride.uci.org/iframe/CompetitionResults/57939?disciplineId=3",DEN,CN
"6cf47d5d-608e-4820-ba61-1e9b11d2b218","12 Jan 2020","Swiss National Championships","https://dataride.uci.org/iframe/CompetitionResults/57940?disciplineId=3",SUI,CN
"6ddfa8ce-80bc-4965-b0f2-65f21eecb614","12 Jan 2020","Irish National Championships","https://dataride.uci.org/iframe/CompetitionResults/58577?disciplineId=3",IRL,CN
"5ad8d555-c6ac-456b-afdc-8d0e951dae81","12 Jan 2020","Hungarian national championships","https://dataride.uci.org/iframe/CompetitionResults/59095?disciplineId=3",HUN,CN
"3859d6f2-6828-4246-983f-31faa7d1306e","12 Jan 2020","Croatian national championships","https://dataride.uci.org/iframe/CompetitionResults/59770?disciplineId=3",CRO,CN
"915e6429-7b94-44d4-b31a-24fdf9f6be4f","11 Jan-12 Jan 2020","Italian National Championships","https://dataride.uci.org/iframe/CompetitionResults/57846?disciplineId=3",ITA,CN
"1e0b04f0-69ce-4c4e-9082-906bbbb798c5","11 Jan-12 Jan 2020","Swedish National Championships","https://dataride.uci.org/iframe/CompetitionResults/57855?disciplineId=3",SWE,CN
"4ac4ec51-e9a3-489d-afef-b57ad079b201","11 Jan-12 Jan 2020","British National Championships","https://dataride.uci.org/iframe/CompetitionResults/57936?disciplineId=3",GBR,CN
"8bef8952-1a19-4d43-9b0b-5fedbd6d5cdc","11 Jan-12 Jan 2020","Dutch National Championships","https://dataride.uci.org/iframe/CompetitionResults/57937?disciplineId=3",NED,CN
"a7cea066-b253-49ec-b44c-dbe145b5e637","11 Jan-12 Jan 2020","French National Championships","https://dataride.uci.org/iframe/CompetitionResults/57938?disciplineId=3",FRA,CN
"96f3e79a-8079-418b-9945-e437cc11c1be","11 Jan-12 Jan 2020","German National Championships","https://dataride.uci.org/iframe/CompetitionResults/57942?disciplineId=3",GER,CN
